code,name,industry,text_score,categories_hit_count,np_yoy,revenue_yoy,gross_margin,pe_ttm,pe_dynamic,pe_method,peg,drr,drgs,ibr,arr,order_backlog_score,filter_pass,price_index_1y_high,contract_liability_yoy,price_above_ma60,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value
002916,深南电路,元件,1.30,1,65.6,46.3,31.0,57.0,52.5,动态(中报×2),0.87,0.012,-9.7,30.8,-3.8,10.4,否(经营现金流同比恶化),,36.6,否,是,是,,是,平安银行股份有限公司-永赢科技智选混合型发起式证券投资基金[保险]; 中国银行股份有限公司-摩根士丹利数字经济混合型证券投资基金[QFII]; 富国基金管理有限公司-社保基金2101组合[社保]; 太平人寿保险有限公司-传统-普通保险产品-022L-CT001深[保险]; 银华基金-中国人寿保险股份有限公司-分红险-银华基金国寿股份成长股票型组合单一资产管理计划(可供出售)[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险],95.550
001389,广合科技,元件,6.70,5,94.4,81.0,39.3,49.6,36.3,动态(中报×2),0.53,0.002,70.0,77.7,6.5,11.2,是,,151.0,否,,,,,,94.390
002463,沪电股份,元件,2.80,4,73.7,61.2,38.7,45.0,39.0,动态(中报×2),0.61,0.004,6.6,33.7,20.7,10.1,否(经营现金流同比恶化),,67.8,否,是,是,,,平安银行股份有限公司-永赢科技智选混合型发起式证券投资基金[保险]; 富国基金管理有限公司-社保基金2101组合[社保]; 全国社保基金一零九组合[社保]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险],93.720
301219,腾远钴业,能源金属,1.30,1,87.8,72.4,25.8,11.0,9.5,动态(中报×2),0.13,0.046,177.2,-0.2,-8.8,11.2,否(经营现金流同比恶化),,249.6,否,,,,,,87.820
000062,深圳华强,其他电子Ⅱ,1.50,1,66.1,60.7,7.7,41.7,32.9,动态(中报×2),0.63,0.008,49.2,-41.2,-28.8,8.3,否(经营现金流同比恶化),,109.9,是,是,,是,,基本养老保险基金八零二组合[养老]; 中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险],86.130
600176,中国巨石,玻璃玻纤,1.50,1,73.9,22.5,42.1,39.0,29.9,动态(中报×2),0.53,0.023,30.0,-34.2,-2.3,9.2,是,,52.5,是,,是,,,全国社保基金一零一组合[社保]; 全国社保基金一一四组合[社保]; 全国社保基金四零一组合[社保]; 全国社保基金四一六组合[社保],83.870
603893,瑞芯微,半导体,1.50,1,61.7,40.6,45.8,61.1,48.4,动态(中报×2),0.99,0.013,24.8,47.8,37.9,10.9,是,,65.4,是,是,,,是,景顺长城基金-中国人寿保险股份有限公司-分红险-景顺长城基金国寿股份成长股票型组合单一资产管理计划(可供出售)[保险/QFII],81.730
300919,中伟新材,电池,4.30,5,77.8,57.5,13.3,19.0,15.8,动态(中报×2),0.24,0.013,112.1,9.2,-14.0,9.9,否(经营现金流同比恶化),,169.6,否,,,,,,77.800
920403,?,种植业,1.50,1,72.9,48.3,47.2,,,PE(TTM),,0.390,-10.9,-55.5,-20.9,24.9,是,,37.4,否,,,,,,72.910
688809,强一股份,半导体,1.20,1,61.3,66.7,63.2,120.9,130.1,动态(中报×2),1.97,0.004,679.5,39.1,-39.9,10.8,否(毛利率同比下滑>3pct),,746.2,否,,,,是,交通银行股份有限公司-工银瑞信新兴制造混合型证券投资基金[QFII]; 摩根资产管理(新加坡)有限公司-摩根中国A股市场机会基金[QFII],71.300
