code,name,industry,price,total_mv_yi,profit_cagr_3y,revenue_cagr_3y,np_yoy_latest,roe_ann,ocf_to_np,loss_q_3y,pe_ttm,peg,gross_margin,gross_margin_yoy,rev_yoy_latest,ocf_yoy,drr,drgs,ibr,arr,order_backlog_score,filter_pass,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value,pick_reason
600186,莲花控股,调味发酵品Ⅱ,11.57,207,88.4,26.9,42.1,28.2,0.68,0,53.0,0.60,31.4,0.8,28.0,0.09,0.024,-40.2,266.4,-53.4,22.1,是,是,,,是,高盛国际-自有资金[QFII]; 平安基金-中国平安人寿保险股份有限公司-寿险传统-低-平安基金-平安人寿混合配置4号MOM单一资产管理计划[保险],2.269,总市值207亿≥30 | 净利CAGR3年+88%≥15% | 营收CAGR3年+27%≥10% | 最新期净利同比+42%≥10% | ROE年化28.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.68≥0.4 | PE(TTM)53.0≤80 | PEG 0.60≤1.5
301345,涛涛车业,摩托车及其他,241.35,263,58.2,30.7,104.5,19.1,0.92,0,25.9,0.45,40.9,3.7,65.7,0.31,0.016,24.4,-10.6,9.8,9.3,是,,,,,,2.244,总市值263亿≥30 | 净利CAGR3年+58%≥15% | 营收CAGR3年+31%≥10% | 最新期净利同比+105%≥10% | ROE年化19.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.92≥0.4 | PE(TTM)25.9≤80 | PEG 0.45≤1.5
002558,巨人网络,游戏Ⅱ,27.45,522,27.3,35.3,210.6,27.2,1.64,0,16.7,0.61,95.4,4.1,221.7,0.58,0.318,-44.1,,-175.4,25.6,是,,是,,是,阿布达比投资局-自有资金[QFII]; 全国社保基金一一五组合[社保]; 高盛国际-自有资金[QFII],2.232,总市值522亿≥30 | 净利CAGR3年+27%≥15% | 营收CAGR3年+35%≥10% | 最新期净利同比+211%≥10% | ROE年化27.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.64≥0.4 | PE(TTM)16.7≤80 | PEG 0.61≤1.5
603871,嘉友国际,物流,13.64,187,18.8,20.1,25.2,21.3,0.98,0,14.2,0.76,21.5,5.1,-15.8,-0.06,0.076,-22.9,12.2,-5.8,12.4,否(经营现金流同比恶化),是,是,,是,景顺长城基金-中国人寿保险股份有限公司-传统险-景顺长城基金国寿股份新价值股票型组合单一资产管理计划(传统险)[保险/QFII]; 汇添富基金管理股份有限公司-社保基金16032组合[社保]; 中国农业银行股份有限公司-景顺长城能源基建混合型证券投资基金[QFII]; 中国工商银行股份有限公司-景顺长城景盛双息收益债券型证券投资基金[QFII],2.220,总市值187亿≥30 | 净利CAGR3年+19%≥15% | 营收CAGR3年+20%≥10% | 最新期净利同比+25%≥10% | ROE年化21.3%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.98≥0.4 | PE(TTM)14.2≤80 | PEG 0.76≤1.5
600989,宝丰能源,化学原料,24.72,1813,21.7,19.1,50.2,29.1,1.47,0,11.8,0.54,37.4,2.0,22.9,0.29,0.030,43.5,-13.7,30.6,10.0,是,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],2.136,总市值1813亿≥30 | 净利CAGR3年+22%≥15% | 营收CAGR3年+19%≥10% | 最新期净利同比+50%≥10% | ROE年化29.1%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.47≥0.4 | PE(TTM)11.8≤80 | PEG 0.54≤1.5
000682,东方电子,电网设备,11.46,154,27.7,15.3,95.1,15.6,0.89,0,15.2,0.55,30.4,-0.8,8.1,-0.05,0.407,-11.0,1.1,17.4,26.8,否(经营现金流同比恶化),,是,,,全国社保基金五零三组合[社保],2.122,总市值154亿≥30 | 净利CAGR3年+28%≥15% | 营收CAGR3年+15%≥10% | 最新期净利同比+95%≥10% | ROE年化15.6%≥6% | 近3年亏损季度0 | 年报OCF/NP 0.89≥0.4 | PE(TTM)15.2≤80 | PEG 0.55≤1.5
002155,湖南黄金,贵金属,27.23,426,50.1,33.6,79.2,28.3,1.01,0,23.8,0.47,5.2,0.4,43.5,-0.05,0.002,-57.5,154.4,-65.3,15.5,否(经营现金流同比恶化),,,,,,2.108,总市值426亿≥30 | 净利CAGR3年+50%≥15% | 营收CAGR3年+34%≥10% | 最新期净利同比+79%≥10% | ROE年化28.3%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.01≥0.4 | PE(TTM)23.8≤80 | PEG 0.47≤1.5
300308,中际旭创,通信设备,851.90,10035,106.6,58.3,262.3,70.2,1.00,0,49.1,0.49,46.1,9.4,192.1,1.07,0.000,21.3,-75.9,-55.7,5.4,是,,,,,,2.038,总市值10035亿≥30 | 净利CAGR3年+107%≥15% | 营收CAGR3年+58%≥10% | 最新期净利同比+262%≥10% | ROE年化70.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.00≥0.4 | PE(TTM)49.1≤80 | PEG 0.49≤1.5
600489,中金黄金,贵金属,25.62,1242,37.6,11.4,129.2,30.2,1.69,0,18.8,0.50,20.5,0.8,52.0,-0.04,0.020,5.4,-26.6,-132.0,8.4,否(经营现金流同比恶化),,,,,,1.995,总市值1242亿≥30 | 净利CAGR3年+38%≥15% | 营收CAGR3年+11%≥10% | 最新期净利同比+129%≥10% | ROE年化30.2%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.69≥0.4 | PE(TTM)18.8≤80 | PEG 0.50≤1.5
002204,大连重工,专用设备,5.22,101,26.5,14.4,16.2,10.5,1.32,0,15.7,0.59,17.0,-1.0,15.4,0.46,0.392,-18.4,-9.4,-10.4,25.5,是,,是,,,易方达基金管理有限公司-社保基金17042组合[社保]; 汇添富基金管理股份有限公司-社保基金1802组合[社保],1.986,总市值101亿≥30 | 净利CAGR3年+26%≥15% | 营收CAGR3年+14%≥10% | 最新期净利同比+16%≥10% | ROE年化10.5%≥6% | 近3年亏损季度0 | 年报OCF/NP 1.32≥0.4 | PE(TTM)15.7≤80 | PEG 0.59≤1.5
