signal_id,触发日期,yaml_version_at_trigger,触发任务,桶,规则ID,标的代码,标的名称,申万一级行业,分桶基准代码,触发时指标值,阈值,当时组合状态,信号方向,建议动作,是否实际执行,执行日期,执行价格,回测预期胜率,回测预期中位收益_60d,回测预期中位收益_120d,回测预期中位收益_250d,事后60日收益%,事后120日收益%,事后250日收益%,事后60日超额沪深300%,事后120日超额沪深300%,事后250日超额沪深300%,事后60日超额分桶基准%,事后120日超额分桶基准%,事后250日超额分桶基准%,信号最终评价,备注
SIG-20260824-C-35,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,688630,芯碁微装,专用设备,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[产能利用率]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-36,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002538,ST司特,农化制品,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[供应偏紧]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-37,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300233,金城医药,化学制药,000905,0.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[产能利用率]，加权分0.0（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-38,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,688809,强一股份,半导体,000905,1.2,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中demand[需求旺盛]，加权分1.2（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-39,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300857,协创数据,消费电子,000905,4.2,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中demand[市场需求增长]、price[涨价,量价齐升]，加权分4.2。"
SIG-20260824-C-40,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301563,云汉芯城,其他电子Ⅱ,000905,5.4,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中demand[需求旺盛,供不应求]、price[提价,涨价]，加权分5.4。"
SIG-20260824-C-41,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,603966,法兰泰克,专用设备,000905,1.2,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中demand[需求旺盛]，加权分1.2（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-42,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301513,尚水智能,电池,000905,0.0,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[产能利用率]，加权分0.0（低于1.5但命中类别≥1，按宽松规则PASS）。
SIG-20260824-C-43,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,000973,佛塑科技,塑料,000905,2.7,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中demand[供不应求]、price[涨价]，加权分2.7。
SIG-20260824-C-44,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,002738,中矿资源,能源金属,000905,1.5,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]，加权分1.5。
SIG-20260824-C-45,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300363,博腾股份,医疗服务,000905,2.4,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中demand[供不应求,需求旺盛]，加权分2.4。"
SIG-20260824-C-46,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300390,天华新能,电池,000905,2.8,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,互动易文本命中price[涨价]、supply[产能利用率]，加权分2.8。
SIG-20260824-C-47,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,300620,光库科技,通信设备,000905,2.6,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,"互动易文本命中supply[产能利用率,满产满销]，加权分2.6。"
SIG-20260824-C-48,2026-08-24,c#-builtin-v1,T4,C,C-TEXT-SCAN,301219,腾远钴业,能源金属,000905,1.3,6.0,,买入候选,纳入 C 桶候选池观察,,,,,,,,,,,,,,,,,,关键词命中supply[产能利用率]，加权分1.3（低于1.5但命中类别≥1，按宽松规则PASS）。
