code,name,industry,price,dividend_yield_ttm,dividend_percentile_5y,roe_5y_avg,fcf_coverage,pb,pb_percentile,dividend_years,loss_q_3y,ocf_ps_annual,quality_score,has_insurance,has_social_security,has_pension,has_qfii,inst_detail,sort_value,pick_reason
601598,中国外运,物流,6.68,4.49,,8.2,1.0,1.16,42.0,5,0,0.43,0.610,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 中国人寿保险(集团)公司-传统-普通保险产品-港股通(创新策略)[保险],2.738,股息率4.49%≥3.0% | PB 1.16≤4.0 | ROE年化8.2%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股0.43≥0
000895,双汇发展,食品加工,23.18,3.45,,21.4,1.0,3.84,0.0,5,0,2.12,0.785,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 新华人寿保险股份有限公司-传统-普通保险产品-018L-CT001深[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险],2.708,股息率3.45%≥3.0% | PB 3.84≤4.0 | ROE年化21.4%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股2.12≥0
601998,中信银行,银行Ⅱ,9.01,4.23,,9.6,1.0,0.67,66.5,5,0,7.96,0.628,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险],2.657,股息率4.23%≥3.0% | PB 0.67≤4.0 | ROE年化9.6%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股7.96≥0
601963,重庆银行,银行Ⅱ,11.03,4.00,,12.0,1.0,0.67,66.5,5,0,14.23,0.660,是,,,,富德生命人寿保险股份有限公司[保险],2.642,股息率4.00%≥3.0% | PB 0.67≤4.0 | ROE年化12.0%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股14.23≥0
601088,中国神华,煤炭开采,48.03,4.01,,11.7,1.0,2.31,0.0,5,0,3.78,0.655,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 太平人寿保险有限公司[保险],2.628,股息率4.01%≥3.0% | PB 2.31≤4.0 | ROE年化11.7%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股3.78≥0
601658,邮储银行,银行Ⅱ,5.33,4.10,,9.6,1.0,0.61,69.5,5,0,3.43,0.628,是,,,,中国平安人寿保险股份有限公司-自有资金[保险]; 中国人民人寿保险股份有限公司-传统-普通保险产品[保险]; 中国人民财产保险股份有限公司-自有资金[保险],2.575,股息率4.10%≥3.0% | PB 0.61≤4.0 | ROE年化9.6%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股3.43≥0
600350,山东高速,铁路公路,10.02,4.19,,8.1,1.0,1.65,17.5,5,0,1.45,0.609,是,,,,中国人寿保险(集团)公司-传统-普通保险产品-港股通(创新策略)[保险],2.550,股息率4.19%≥3.0% | PB 1.65≤4.0 | ROE年化8.1%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.45≥0
600938,中国海油,油气开采Ⅱ,32.80,3.49,,20.4,1.0,1.82,9.0,5,0,4.40,0.722,,,,,,2.521,股息率3.49%≥3.0% | PB 1.82≤4.0 | ROE年化20.4%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股4.40≥0
601398,工商银行,银行Ⅱ,8.13,3.82,,8.6,1.0,0.73,63.5,5,0,5.30,0.615,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 太平人寿保险有限公司[保险],2.350,股息率3.82%≥3.0% | PB 0.73≤4.0 | ROE年化8.6%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股5.30≥0
601288,农业银行,银行Ⅱ,6.87,3.63,,10.1,1.0,0.84,58.0,5,0,6.04,0.635,是,,,,中国平安人寿保险股份有限公司[保险],2.306,股息率3.63%≥3.0% | PB 0.84≤4.0 | ROE年化10.1%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股6.04≥0
601187,厦门银行,银行Ⅱ,6.92,3.61,,8.6,1.0,0.66,67.0,5,0,-0.42,0.615,,是,,,全国社保基金四零一组合[社保],2.220,股息率3.61%≥3.0% | PB 0.66≤4.0 | ROE年化8.6%≥6.0% | 近3年亏损季度0 | ⚠️年报经营现金流/股-0.42<0（借钱分红嫌疑，请人工复核）
601939,建设银行,银行Ⅱ,10.98,3.54,,9.5,1.0,0.80,60.0,5,0,8.03,0.627,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险],2.219,股息率3.54%≥3.0% | PB 0.80≤4.0 | ROE年化9.5%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股8.03≥0
601988,中国银行,银行Ⅱ,6.62,3.42,,8.7,1.0,0.78,61.0,5,0,2.52,0.615,是,,,,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪[保险]; 新华人寿保险股份有限公司-传统-普通保险产品-018L-CT001沪[保险]; 中国人民人寿保险股份有限公司-传统-普通保险产品[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险],2.105,股息率3.42%≥3.0% | PB 0.78≤4.0 | ROE年化8.7%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股2.52≥0
601001,晋控煤业,煤炭开采,17.65,3.10,,7.6,1.0,1.54,23.0,5,0,1.86,0.601,是,,,,银华基金-新华人寿保险股份有限公司分红高股息策略组合-银华基金新华人寿高股息策略单一资产管理计划[保险]; 中国人寿保险股份有限公司-分红-个人分红-005L-FH002沪[保险],1.863,股息率3.10%≥3.0% | PB 1.54≤4.0 | ROE年化7.6%≥6.0% | 近3年亏损季度0 | 年报经营现金流/股1.86≥0
